Ensembl_ID,Gene_type,Symbol
ENSG00000170214,protein_coding,ADRA1B
ENSG00000171873,protein_coding,ADRA1D
ENSG00000150594,protein_coding,ADRA2A
ENSG00000274286,protein_coding,ADRA2B
ENSG00000184160,protein_coding,ADRA2C
ENSG00000043591,protein_coding,ADRB1
ENSG00000169252,protein_coding,ADRB2
ENSG00000188778,protein_coding,ADRB3
ENSG00000130706,protein_coding,ADRM1
ENSG00000239900,protein_coding,ADSL
ENSG00000185100,protein_coding,ADSS1
ENSG00000035687,protein_coding,ADSS2
ENSG00000111863,protein_coding,ADTRP
ENSG00000106624,protein_coding,AEBP1
ENSG00000139154,protein_coding,AEBP2
ENSG00000181026,protein_coding,AEN
ENSG00000196526,protein_coding,AFAP1
ENSG00000157510,protein_coding,AFAP1L1
ENSG00000169129,protein_coding,AFAP1L2
ENSG00000130396,protein_coding,AFDN
ENSG00000172493,protein_coding,AFF1
ENSG00000155966,protein_coding,AFF2
ENSG00000144218,protein_coding,AFF3
ENSG00000072364,protein_coding,AFF4
ENSG00000135537,protein_coding,AFG1L
ENSG00000141385,protein_coding,AFG3L2
ENSG00000079557,protein_coding,AFM
ENSG00000183077,protein_coding,AFMID
ENSG00000081051,protein_coding,AFP
ENSG00000119844,protein_coding,AFTPH
ENSG00000038002,protein_coding,AGA
ENSG00000157985,protein_coding,AGAP1
ENSG00000135439,protein_coding,AGAP2
ENSG00000133612,protein_coding,AGAP3
ENSG00000188234,protein_coding,AGAP4
ENSG00000172650,protein_coding,AGAP5
ENSG00000204149,protein_coding,AGAP6
ENSG00000204172,protein_coding,AGAP9
ENSG00000273540,protein_coding,AGBL1
ENSG00000165923,protein_coding,AGBL2
ENSG00000146856,protein_coding,AGBL3
ENSG00000186094,protein_coding,AGBL4
ENSG00000084693,protein_coding,AGBL5
ENSG00000204305,protein_coding,AGER
ENSG00000173744,protein_coding,AGFG1
ENSG00000106351,protein_coding,AGFG2
ENSG00000164252,protein_coding,AGGF1
ENSG00000006530,protein_coding,AGK
ENSG00000162688,protein_coding,AGL
ENSG00000116771,protein_coding,AGMAT
ENSG00000187546,protein_coding,AGMO
ENSG00000092847,protein_coding,AGO1
ENSG00000123908,protein_coding,AGO2
ENSG00000126070,protein_coding,AGO3
ENSG00000134698,protein_coding,AGO4
ENSG00000204310,protein_coding,AGPAT1
ENSG00000169692,protein_coding,AGPAT2
ENSG00000160216,protein_coding,AGPAT3
ENSG00000026652,protein_coding,AGPAT4
ENSG00000155189,protein_coding,AGPAT5
ENSG00000018510,protein_coding,AGPS
ENSG00000106541,protein_coding,AGR2
ENSG00000173467,protein_coding,AGR3
ENSG00000188157,protein_coding,AGRN
ENSG00000159723,protein_coding,AGRP
ENSG00000135744,protein_coding,AGT
ENSG00000135049,protein_coding,AGTPBP1
ENSG00000144891,protein_coding,AGTR1
ENSG00000180772,protein_coding,AGTR2
ENSG00000177674,protein_coding,AGTRAP
ENSG00000172482,protein_coding,AGXT
ENSG00000113492,protein_coding,AGXT2
ENSG00000153207,protein_coding,AHCTF1
ENSG00000101444,protein_coding,AHCY
ENSG00000168710,protein_coding,AHCYL1
ENSG00000158467,protein_coding,AHCYL2
ENSG00000126705,protein_coding,AHDC1
ENSG00000135541,protein_coding,AHI1
ENSG00000124942,protein_coding,AHNAK
ENSG00000185567,protein_coding,AHNAK2
ENSG00000106546,protein_coding,AHR
ENSG00000063438,protein_coding,AHRR
ENSG00000100591,protein_coding,AHSA1
ENSG00000145192,protein_coding,AHSG
ENSG00000169877,protein_coding,AHSP
ENSG00000111732,protein_coding,AICDA
ENSG00000186063,protein_coding,AIDA
ENSG00000204472,protein_coding,AIF1
ENSG00000126878,protein_coding,AIF1L
ENSG00000156709,protein_coding,AIFM1
ENSG00000042286,protein_coding,AIFM2
ENSG00000183773,protein_coding,AIFM3
ENSG00000146416,protein_coding,AIG1
ENSG00000163568,protein_coding,AIM2
ENSG00000164022,protein_coding,AIMP1
ENSG00000106305,protein_coding,AIMP2
ENSG00000110711,protein_coding,AIP
ENSG00000129221,protein_coding,AIPL1
ENSG00000160224,protein_coding,AIRE
ENSG00000196581,protein_coding,AJAP1
ENSG00000232434,protein_coding,AJM1
ENSG00000129474,protein_coding,AJUBA
ENSG00000106992,protein_coding,AK1
ENSG00000004455,protein_coding,AK2
ENSG00000147853,protein_coding,AK3
ENSG00000162433,protein_coding,AK4
ENSG00000154027,protein_coding,AK5
ENSG00000085231,protein_coding,AK6
ENSG00000140057,protein_coding,AK7
ENSG00000165695,protein_coding,AK8
ENSG00000155085,protein_coding,AK9
ENSG00000231824,protein_coding,AKAIN1
ENSG00000121057,protein_coding,AKAP1
ENSG00000108599,protein_coding,AKAP10
ENSG00000023516,protein_coding,AKAP11
ENSG00000131016,protein_coding,AKAP12
ENSG00000170776,protein_coding,AKAP13
ENSG00000186471,protein_coding,AKAP14
ENSG00000197976,protein_coding,AKAP17A
ENSG00000111254,protein_coding,AKAP3
ENSG00000147081,protein_coding,AKAP4
ENSG00000179841,protein_coding,AKAP5
ENSG00000151320,protein_coding,AKAP6
ENSG00000118507,protein_coding,AKAP7
ENSG00000105127,protein_coding,AKAP8
ENSG00000011243,protein_coding,AKAP8L
ENSG00000127914,protein_coding,AKAP9
ENSG00000166452,protein_coding,AKIP1
ENSG00000174574,protein_coding,AKIRIN1
ENSG00000135334,protein_coding,AKIRIN2
ENSG00000106948,protein_coding,AKNA
ENSG00000162641,protein_coding,AKNAD1
ENSG00000117448,protein_coding,AKR1A1
ENSG00000085662,protein_coding,AKR1B1
ENSG00000198074,protein_coding,AKR1B10
ENSG00000227471,protein_coding,AKR1B15
ENSG00000187134,protein_coding,AKR1C1
ENSG00000151632,protein_coding,AKR1C2
ENSG00000196139,protein_coding,AKR1C3
ENSG00000198610,protein_coding,AKR1C4
ENSG00000264006,protein_coding,AKR1C8P
ENSG00000122787,protein_coding,AKR1D1
ENSG00000165568,protein_coding,AKR1E2
ENSG00000053371,protein_coding,AKR7A2
ENSG00000162482,protein_coding,AKR7A3
ENSG00000142208,protein_coding,AKT1
ENSG00000204673,protein_coding,AKT1S1
ENSG00000105221,protein_coding,AKT2
ENSG00000117020,protein_coding,AKT3
ENSG00000166971,protein_coding,AKTIP
ENSG00000148218,protein_coding,ALAD
ENSG00000023330,protein_coding,ALAS1
ENSG00000158578,protein_coding,ALAS2
ENSG00000163631,protein_coding,ALB
ENSG00000170017,protein_coding,ALCAM
ENSG00000161618,protein_coding,ALDH16A1
ENSG00000059573,protein_coding,ALDH18A1
ENSG00000165092,protein_coding,ALDH1A1
ENSG00000128918,protein_coding,ALDH1A2
ENSG00000184254,protein_coding,ALDH1A3
ENSG00000137124,protein_coding,ALDH1B1
ENSG00000144908,protein_coding,ALDH1L1
ENSG00000136010,protein_coding,ALDH1L2
ENSG00000111275,protein_coding,ALDH2
ENSG00000108602,protein_coding,ALDH3A1
ENSG00000072210,protein_coding,ALDH3A2
ENSG00000006534,protein_coding,ALDH3B1
ENSG00000132746,protein_coding,ALDH3B2
ENSG00000159423,protein_coding,ALDH4A1
ENSG00000112294,protein_coding,ALDH5A1
ENSG00000119711,protein_coding,ALDH6A1
ENSG00000164904,protein_coding,ALDH7A1
ENSG00000118514,protein_coding,ALDH8A1
ENSG00000143149,protein_coding,ALDH9A1
ENSG00000149925,protein_coding,ALDOA
ENSG00000136872,protein_coding,ALDOB
ENSG00000109107,protein_coding,ALDOC
ENSG00000033011,protein_coding,ALG1
ENSG00000139133,protein_coding,ALG10
ENSG00000175548,protein_coding,ALG10B
ENSG00000253710,protein_coding,ALG11
ENSG00000182858,protein_coding,ALG12
ENSG00000101901,protein_coding,ALG13
ENSG00000172339,protein_coding,ALG14
ENSG00000251287,protein_coding,ALG1L2
ENSG00000119523,protein_coding,ALG2
ENSG00000214160,protein_coding,ALG3
ENSG00000120697,protein_coding,ALG5
ENSG00000088035,protein_coding,ALG6
ENSG00000159063,protein_coding,ALG8
ENSG00000086848,protein_coding,ALG9
ENSG00000171094,protein_coding,ALK
ENSG00000196711,protein_coding,ALKAL1
ENSG00000189292,protein_coding,ALKAL2
ENSG00000100601,protein_coding,ALKBH1
ENSG00000189046,protein_coding,ALKBH2
ENSG00000166199,protein_coding,ALKBH3
ENSG00000160993,protein_coding,ALKBH4
ENSG00000091542,protein_coding,ALKBH5
ENSG00000239382,protein_coding,ALKBH6
ENSG00000125652,protein_coding,ALKBH7
ENSG00000137760,protein_coding,ALKBH8
ENSG00000151360,protein_coding,ALLC
ENSG00000116127,protein_coding,ALMS1
ENSG00000108839,protein_coding,ALOX12
ENSG00000179477,protein_coding,ALOX12B
ENSG00000161905,protein_coding,ALOX15
ENSG00000179593,protein_coding,ALOX15B
ENSG00000012779,protein_coding,ALOX5
ENSG00000132965,protein_coding,ALOX5AP
ENSG00000179148,protein_coding,ALOXE3
ENSG00000163286,protein_coding,ALPG
ENSG00000163295,protein_coding,ALPI
ENSG00000073331,protein_coding,ALPK1
ENSG00000198796,protein_coding,ALPK2
ENSG00000136383,protein_coding,ALPK3
ENSG00000162551,protein_coding,ALPL
ENSG00000163283,protein_coding,ALPP
ENSG00000003393,protein_coding,ALS2
ENSG00000178038,protein_coding,ALS2CL
ENSG00000180318,protein_coding,ALX1
ENSG00000156150,protein_coding,ALX3
ENSG00000052850,protein_coding,ALX4
ENSG00000183684,protein_coding,ALYREF
ENSG00000242110,protein_coding,AMACR
ENSG00000178522,protein_coding,AMBN
ENSG00000106927,protein_coding,AMBP
ENSG00000110497,protein_coding,AMBRA1
ENSG00000123505,protein_coding,AMD1
ENSG00000139344,protein_coding,AMDHD1
ENSG00000162066,protein_coding,AMDHD2
ENSG00000125363,protein_coding,AMELX
ENSG00000099721,protein_coding,AMELY
ENSG00000184675,protein_coding,AMER1
ENSG00000165566,protein_coding,AMER2
ENSG00000178171,protein_coding,AMER3
ENSG00000159461,protein_coding,AMFR
ENSG00000104899,protein_coding,AMH
ENSG00000135409,protein_coding,AMHR2
ENSG00000181754,protein_coding,AMIGO1
ENSG00000139211,protein_coding,AMIGO2
ENSG00000176020,protein_coding,AMIGO3
ENSG00000101935,protein_coding,AMMECR1
ENSG00000144233,protein_coding,AMMECR1L
ENSG00000166126,protein_coding,AMN
ENSG00000151743,protein_coding,AMN1
ENSG00000126016,protein_coding,AMOT
ENSG00000166025,protein_coding,AMOTL1
ENSG00000114019,protein_coding,AMOTL2
ENSG00000116748,protein_coding,AMPD1
ENSG00000116337,protein_coding,AMPD2
ENSG00000133805,protein_coding,AMPD3
ENSG00000078053,protein_coding,AMPH
ENSG00000145020,protein_coding,AMT
ENSG00000187689,protein_coding,AMTN
ENSG00000237763,protein_coding,AMY1A
ENSG00000174876,protein_coding,AMY1B
ENSG00000187733,protein_coding,AMY1C
ENSG00000243480,protein_coding,AMY2A
ENSG00000240038,protein_coding,AMY2B
ENSG00000174945,protein_coding,AMZ1
ENSG00000196704,protein_coding,AMZ2
ENSG00000153107,protein_coding,ANAPC1
ENSG00000164162,protein_coding,ANAPC10
ENSG00000141552,protein_coding,ANAPC11
ENSG00000129055,protein_coding,ANAPC13
ENSG00000110200,protein_coding,ANAPC15
ENSG00000166295,protein_coding,ANAPC16
ENSG00000176248,protein_coding,ANAPC2
ENSG00000053900,protein_coding,ANAPC4
ENSG00000089053,protein_coding,ANAPC5
ENSG00000196510,protein_coding,ANAPC7
ENSG00000214274,protein_coding,ANG
ENSG00000013523,protein_coding,ANGEL1
ENSG00000174606,protein_coding,ANGEL2
ENSG00000154188,protein_coding,ANGPT1
ENSG00000091879,protein_coding,ANGPT2
ENSG00000101280,protein_coding,ANGPT4
ENSG00000116194,protein_coding,ANGPTL1
ENSG00000136859,protein_coding,ANGPTL2
ENSG00000132855,protein_coding,ANGPTL3
ENSG00000167772,protein_coding,ANGPTL4
